04:13 ;		 		ExpID; HP_Set;  Fold;   Epoch;   TrainLoss;   		 TrainAcc;             ValLoss;              	ValAcc; 	LR
05:42 ;		 		5; 9; 0; 13; 0.4210536135248391; 0.8192771084337349; 0.4795694947242737; 0.7; 0.0008
05:42 ;		 		5; 9; 0; 14; 0.40892007192933416; 0.8313253012048193; 0.4413587599992752; 0.7; 0.0008
05:43 ;		 		5; 9; 0; 15; 0.4369368804506509; 0.7951807228915663; 0.37371662855148313; 0.8; 0.0008
05:44 ;		 		5; 9; 0; 16; 0.35953006956232597; 0.8674698795180723; 0.8072085201740264; 0.7; 0.0008
05:45 ;		 		5; 9; 0; 17; 0.43237846084387904; 0.8072289156626506; 0.3861935257911682; 0.9; 0.0008
05:45 ;		 		5; 9; 0; 18; 0.3248036426593022; 0.8795180722891566; 0.4135424256324768; 0.9; 0.0008
05:46 ;		 		5; 9; 0; 19; 0.34064795678279486; 0.8554216867469879; 0.31347809433937074; 0.9; 0.0008
05:47 ;		 		5; 9; 0; 20; 0.2872091057788895; 0.891566265060241; 0.3869662284851074; 0.8; 0.0008
05:47 ;		 		5; 9; 0; 21; 0.2951286480010274; 0.9036144578313253; 0.40547932386398317; 0.9; 0.0008
05:48 ;		 		5; 9; 0; 22; 0.268436424344419; 0.8795180722891566; 0.36268588304519656; 0.8; 0.0008
05:49 ;		 		5; 9; 0; 23; 0.2949131959712649; 0.8795180722891566; 0.2844884812831879; 0.9; 0.0008
05:50 ;		 		5; 9; 0; 24; 0.26435942139970253; 0.9156626506024096; 0.5173242330551148; 0.8; 0.0008
05:50 ;		 		5; 9; 0; 25; 0.23146798237260566; 0.9156626506024096; 0.5855511426925659; 0.8; 0.0008
05:51 ;		 		5; 9; 0; 26; 0.3396852476051055; 0.8674698795180723; 0.6408000946044922; 0.8; 0.0008
05:52 ;		 		5; 9; 0; 27; 0.244669241538967; 0.927710843373494; 0.3024643242359161; 0.9; 0.0008
05:53 ;		 		5; 9; 0; 28; 0.21243395063891468; 0.9156626506024096; 0.24776915311813355; 0.9; 0.0008
05:53 ;		 		5; 9; 0; 29; 0.33357400743358107; 0.8554216867469879; 0.3879485249519348; 0.8; 0.0008
05:54 ;		 		5; 9; 0; 30; 0.2288832770413663; 0.927710843373494; 0.3015697479248047; 0.8; 0.0008
05:55 ;		 		5; 9; 0; 31; 0.21847668685108781; 0.891566265060241; 0.42063485980033877; 0.8; 0.0008
05:56 ;		 		5; 9; 0; 32; 0.2721209414752133; 0.8795180722891566; 0.5551701784133911; 0.7; 0.0008
05:56 ;		 		5; 9; 0; 33; 0.28038828272417365; 0.8795180722891566; 0.30296545624732973; 0.9; 0.0008
05:56 ;		 		 ExpID; HP_Set;  Fold;   Epoch;   TrainLoss;   		 TrainAcc;             ValLoss;    ValAcc; 	LR
05:57 ;		 		6; 9; 1; 0; 0.7107970714569092; 0.4880952380952381; 0.6813979029655457; 0.6; 0.0008
05:58 ;		 		6; 9; 1; 1; 0.6688094337781271; 0.5833333333333334; 0.6682105541229248; 0.6; 0.0008
05:59 ;		 		6; 9; 1; 2; 0.6415242779822576; 0.7142857142857143; 0.6446091651916503; 0.8; 0.0008
06:00 ;		 		6; 9; 1; 3; 0.6250166495641073; 0.7380952380952381; 0.6209440231323242; 0.7; 0.0008
06:00 ;		 		6; 9; 1; 4; 0.5756167599133083; 0.7857142857142857; 0.6060633540153504; 0.8; 0.0008
06:01 ;		 		6; 9; 1; 5; 0.546929365112668; 0.7976190476190477; 0.5783323049545288; 0.8; 0.0008
06:02 ;		 		6; 9; 1; 6; 0.5334190343107496; 0.7857142857142857; 0.528837251663208; 0.7; 0.0008
06:03 ;		 		6; 9; 1; 7; 0.49922811133520945; 0.8333333333333334; 0.4782792329788208; 0.9; 0.0008
06:04 ;		 		6; 9; 1; 8; 0.4531621649151757; 0.8571428571428571; 0.4627882242202759; 0.8; 0.0008
06:04 ;		 		6; 9; 1; 9; 0.44599438707033795; 0.8333333333333334; 0.45846167802810667; 0.8; 0.0008
06:05 ;		 		6; 9; 1; 10; 0.4446636892500378; 0.8333333333333334; 0.47983328998088837; 0.7; 0.0008
06:06 ;		 		6; 9; 1; 11; 0.3495984616733733; 0.9166666666666666; 0.37325721979141235; 0.9; 0.0008
06:07 ;		 		6; 9; 1; 12; 0.36998579899470013; 0.8571428571428571; 0.4076767325401306; 0.8; 0.0008
06:08 ;		 		6; 9; 1; 13; 0.34924082245145527; 0.8452380952380952; 0.3384335398674011; 0.9; 0.0008
06:09 ;		 		6; 9; 1; 14; 0.328500101963679; 0.8928571428571429; 0.370414662361145; 0.9; 0.0008
06:10 ;		 		6; 9; 1; 15; 0.29619381115550086; 0.8928571428571429; 0.32419957518577575; 0.9; 0.0008
06:11 ;		 		6; 9; 1; 16; 0.2706804942517054; 0.9166666666666666; 0.7424567326903343; 0.6; 0.0008
06:11 ;		 		6; 9; 1; 17; 0.3024414763564155; 0.9047619047619048; 0.41070687770843506; 0.8; 0.0008
06:12 ;		 		6; 9; 1; 18; 0.1867981624035608; 0.9404761904761905; 0.5499953925609589; 0.7; 0.0008
06:13 ;		 		6; 9; 1; 19; 0.24998686214288077; 0.9166666666666666; 0.5051924973726273; 0.7; 0.0008
06:14 ;		 		6; 9; 1; 20; 0.2024178710721788; 0.9404761904761905; 0.277277672290802; 0.8; 0.0008
06:14 ;		 		6; 9; 1; 21; 0.26373707893348874; 0.8928571428571429; 1.0594026792794466; 0.6; 0.0008
06:15 ;		 		6; 9; 1; 22; 0.3101538419723511; 0.8690476190476191; 0.17840299308300017; 1.0; 0.0008
06:16 ;		 		6; 9; 1; 23; 0.24543828552677519; 0.9166666666666666; 0.4750007063150406; 0.8; 0.0008
06:16 ;		 		6; 9; 1; 24; 0.26844604810078937; 0.8928571428571429; 0.30171196460723876; 0.8; 0.0008
06:17 ;		 		6; 9; 1; 25; 0.3154446397508894; 0.8809523809523809; 0.4076808199286461; 0.7; 0.0008
06:18 ;		 		6; 9; 1; 26; 0.27715269334259485; 0.9047619047619048; 0.26466614156961443; 0.9; 0.0008
06:19 ;		 		6; 9; 1; 27; 0.21128502913883754; 0.9285714285714286; 0.532447436824441; 0.7; 0.0008
06:19 ;		 		 ExpID; HP_Set;  Fold;   Epoch;   TrainLoss;   		 TrainAcc;             ValLoss;              	ValAcc; 	LR
