18:25 ; Model; ExpID; OUTER_FOLD; INNER_FOLD; HPset; epoch;  T_loss;    V_loss;    val_auc;    th_star;    LR;    no_improve;
19:06 ;		 MultiViewCNN;    3;    0;    0;    3;    00;    0.6906;    0.7003    0.3498;    inf;    0.0001;    00;
19:06 ;		 MultiViewCNN;    3;    0;    0;    3;    01;    0.6930;    0.6963    0.4551;    0.489505;    0.0001;    00;
19:07 ;		 MultiViewCNN;    3;    0;    0;    3;    02;    0.6776;    0.6907    0.5542;    0.511547;    0.0001;    00;
19:07 ;		 MultiViewCNN;    3;    0;    0;    3;    03;    0.6816;    0.6864    0.6130;    0.522222;    0.0001;    00;
19:08 ;		 MultiViewCNN;    3;    0;    0;    3;    04;    0.6809;    0.6828    0.6316;    0.538134;    0.0001;    00;
19:08 ;		 MultiViewCNN;    3;    0;    0;    3;    05;    0.6796;    0.6812    0.6440;    0.541337;    0.0001;    00;
19:09 ;		 MultiViewCNN;    3;    0;    0;    3;    06;    0.6809;    0.6789    0.6656;    0.541975;    0.0001;    00;
19:09 ;		 MultiViewCNN;    3;    0;    0;    3;    07;    0.6682;    0.6770    0.6749;    0.549713;    0.0001;    00;
19:10 ;		 MultiViewCNN;    3;    0;    0;    3;    08;    0.6696;    0.6760    0.6811;    0.552778;    0.0001;    00;
19:10 ;		 MultiViewCNN;    3;    0;    0;    3;    09;    0.6643;    0.6752    0.6842;    0.560668;    0.0001;    00;
19:11 ;		 MultiViewCNN;    3;    0;    0;    3;    10;    0.6634;    0.6736    0.6904;    0.566422;    0.0001;    00;
19:12 ;		 MultiViewCNN;    3;    0;    0;    3;    11;    0.6507;    0.6722    0.6935;    0.568723;    0.0001;    00;
19:12 ;		 MultiViewCNN;    3;    0;    0;    3;    12;    0.6600;    0.6713    0.6966;    0.574050;    0.0001;    00;
19:13 ;		 MultiViewCNN;    3;    0;    0;    3;    13;    0.6503;    0.6701    0.6873;    0.575329;    0.0001;    00;
19:13 ;		 MultiViewCNN;    3;    0;    0;    3;    14;    0.6417;    0.6699    0.6811;    0.578484;    0.0001;    01;
19:14 ;		 MultiViewCNN;    3;    0;    0;    3;    15;    0.6462;    0.6695    0.6687;    0.593948;    0.0001;    02;
19:14 ;		 MultiViewCNN;    3;    0;    0;    3;    16;    0.6386;    0.6676    0.6718;    0.590285;    0.0001;    03;
19:15 ;		 MultiViewCNN;    3;    0;    0;    3;    17;    0.6394;    0.6667    0.6780;    0.590512;    0.0001;    04;
19:15 ;		 MultiViewCNN;    7;    0;    1;    3;    00;    0.6884;    0.6843    0.7368;    0.520307;    0.0001;    00;
19:16 ;		 MultiViewCNN;    7;    0;    1;    3;    01;    0.6905;    0.6837    0.7988;    0.517815;    0.0001;    00;
19:16 ;		 MultiViewCNN;    7;    0;    1;    3;    02;    0.6846;    0.6806    0.8514;    0.525126;    0.0001;    00;
19:17 ;		 MultiViewCNN;    7;    0;    1;    3;    03;    0.6836;    0.6762    0.8793;    0.521493;    0.0001;    00;
19:17 ;		 MultiViewCNN;    7;    0;    1;    3;    04;    0.6751;    0.6722    0.8762;    0.525077;    0.0001;    00;
19:18 ;		 MultiViewCNN;    7;    0;    1;    3;    05;    0.6764;    0.6692    0.8978;    0.526439;    0.0001;    01;
19:19 ;		 MultiViewCNN;    7;    0;    1;    3;    06;    0.6698;    0.6665    0.8885;    0.523009;    0.0001;    00;
19:19 ;		 MultiViewCNN;    7;    0;    1;    3;    07;    0.6745;    0.6637    0.8916;    0.525436;    0.0001;    01;
19:20 ;		 MultiViewCNN;    7;    0;    1;    3;    08;    0.6814;    0.6612    0.8824;    0.526467;    0.0001;    02;
19:20 ;		 MultiViewCNN;    7;    0;    1;    3;    09;    0.6718;    0.6587    0.8854;    0.526619;    0.0001;    03;
19:21 ;		 MultiViewCNN;    7;    0;    1;    3;    10;    0.6755;    0.6563    0.8824;    0.528396;    0.0001;    04;
19:21 ;		 MultiViewCNN;    11;    0;    2;    3;    00;    0.6906;    0.6912    0.8050;    0.491069;    0.0001;    00;
19:22 ;		 MultiViewCNN;    11;    0;    2;    3;    01;    0.6838;    0.6897    0.7616;    0.488494;    0.0001;    00;
19:22 ;		 MultiViewCNN;    11;    0;    2;    3;    02;    0.6945;    0.6863    0.7245;    0.501474;    0.0001;    01;
19:23 ;		 MultiViewCNN;    11;    0;    2;    3;    03;    0.6781;    0.6824    0.7090;    0.519236;    0.0001;    02;
19:24 ;		 MultiViewCNN;    11;    0;    2;    3;    04;    0.6858;    0.6797    0.7059;    0.529620;    0.0001;    03;
19:25 ;		 MultiViewCNN;    11;    0;    2;    3;    05;    0.6780;    0.6776    0.6873;    0.539430;    0.0001;    04;
19:26 ;		 MultiViewCNN;    4;    0;    0;    4;    00;    0.6857;    0.6882    0.6904;    0.518847;    0.0001;    00;
19:27 ;		 MultiViewCNN;    4;    0;    0;    4;    01;    0.6939;    0.6864    0.7183;    0.528652;    0.0001;    00;
19:27 ;		 MultiViewCNN;    4;    0;    0;    4;    02;    0.6794;    0.6856    0.7245;    0.532411;    0.0001;    00;
19:28 ;		 MultiViewCNN;    4;    0;    0;    4;    03;    0.6753;    0.6840    0.7214;    0.537066;    0.0001;    00;
19:28 ;		 MultiViewCNN;    4;    0;    0;    4;    04;    0.6777;    0.6825    0.7121;    0.540061;    0.0001;    01;
19:29 ;		 MultiViewCNN;    4;    0;    0;    4;    05;    0.6748;    0.6816    0.7152;    0.539782;    0.0001;    02;
