Model,outer_fold,inner_fold,paramID,LR,WD,DR,epochs,epoch,val_loss,best_val_loss,fold,avg_val_loss
MultiViewCNN,0,0,7,0.0007,0.0001,0.2,10.0,0.0,0.6872971500119855,,,
MultiViewCNN,0,0,7,0.0007,0.0001,0.2,10.0,1.0,0.6780248322794514,,,
MultiViewCNN,0,0,7,0.0007,0.0001,0.2,10.0,2.0,0.6666193181468595,,,
MultiViewCNN,0,0,7,0.0007,0.0001,0.2,10.0,3.0,0.6552343426212188,,,
MultiViewCNN,0,0,7,0.0007,0.0001,0.2,10.0,4.0,0.6439904243715348,,,
MultiViewCNN,0,0,7,0.0007,0.0001,0.2,10.0,5.0,0.6357338216996962,,,
MultiViewCNN,0,0,7,0.0007,0.0001,0.2,10.0,6.0,0.6332652126589129,,,
MultiViewCNN,0,0,7,0.0007,0.0001,0.2,10.0,7.0,0.6119341235007009,,,
MultiViewCNN,0,0,7,0.0007,0.0001,0.2,10.0,8.0,0.6051997792336249,,,
MultiViewCNN,0,0,7,0.0007,0.0001,0.2,10.0,9.0,0.606454893465965,,,
MultiViewCNN,0,0,7,0.0007,0.0001,0.2,10.0,,,0.6052,,
MultiViewCNN,0,1,7,0.0007,0.0001,0.2,10.0,0.0,0.6867049624842982,,,
MultiViewCNN,0,1,7,0.0007,0.0001,0.2,10.0,1.0,0.6713433669459435,,,
MultiViewCNN,0,1,7,0.0007,0.0001,0.2,10.0,2.0,0.6604573303653348,,,
MultiViewCNN,0,1,7,0.0007,0.0001,0.2,10.0,3.0,0.6531074027861318,,,
MultiViewCNN,0,1,7,0.0007,0.0001,0.2,10.0,4.0,0.6403360097639023,,,
MultiViewCNN,0,1,7,0.0007,0.0001,0.2,10.0,5.0,0.6224107876900704,,,
MultiViewCNN,0,1,7,0.0007,0.0001,0.2,10.0,6.0,0.6105680273425195,,,
MultiViewCNN,0,1,7,0.0007,0.0001,0.2,10.0,7.0,0.6569497008477488,,,
MultiViewCNN,0,1,7,0.0007,0.0001,0.2,10.0,8.0,0.6533345118645699,,,
MultiViewCNN,0,1,7,0.0007,0.0001,0.2,10.0,9.0,0.5792876683896587,,,
MultiViewCNN,0,1,7,0.0007,0.0001,0.2,10.0,,,0.5793,,
MultiViewCNN,0,2,7,0.0007,0.0001,0.2,10.0,0.0,0.6930623054504395,,,
MultiViewCNN,0,2,7,0.0007,0.0001,0.2,10.0,1.0,0.6898057941467531,,,
MultiViewCNN,0,2,7,0.0007,0.0001,0.2,10.0,2.0,0.6866074319808714,,,
MultiViewCNN,0,2,7,0.0007,0.0001,0.2,10.0,3.0,0.6930611421985011,,,
MultiViewCNN,0,2,7,0.0007,0.0001,0.2,10.0,4.0,0.6814063210641185,,,
MultiViewCNN,0,2,7,0.0007,0.0001,0.2,10.0,5.0,0.6787415223736917,,,
MultiViewCNN,0,2,7,0.0007,0.0001,0.2,10.0,6.0,0.6718487989517951,,,
MultiViewCNN,0,2,7,0.0007,0.0001,0.2,10.0,7.0,0.6585664653008984,,,
MultiViewCNN,0,2,7,0.0007,0.0001,0.2,10.0,8.0,0.6466570958014457,,,
MultiViewCNN,0,2,7,0.0007,0.0001,0.2,10.0,9.0,0.6408072767719146,,,
MultiViewCNN,0,2,7,0.0007,0.0001,0.2,10.0,,,0.6408,,
MultiViewCNN,0,0,7,,,,,,,,0.0,0.6084
MultiViewCNN,0,0,8,0.0008,0.0001,0.3,10.0,0.0,0.685433724234181,,,
MultiViewCNN,0,0,8,0.0008,0.0001,0.3,10.0,1.0,0.6780233171678358,,,
MultiViewCNN,0,0,8,0.0008,0.0001,0.3,10.0,2.0,0.6719180691626764,,,
MultiViewCNN,0,0,8,0.0008,0.0001,0.3,10.0,3.0,0.6666939681576144,,,
MultiViewCNN,0,0,8,0.0008,0.0001,0.3,10.0,4.0,0.664663685906318,,,
MultiViewCNN,0,0,8,0.0008,0.0001,0.3,10.0,5.0,0.6543178519895,,,
MultiViewCNN,0,0,8,0.0008,0.0001,0.3,10.0,6.0,0.6406284109238656,,,
MultiViewCNN,0,0,8,0.0008,0.0001,0.3,10.0,7.0,0.6430665696820905,,,
MultiViewCNN,0,0,8,0.0008,0.0001,0.3,10.0,8.0,0.6527292632287548,,,
MultiViewCNN,0,0,8,0.0008,0.0001,0.3,10.0,9.0,0.6193508236638962,,,
MultiViewCNN,0,0,8,0.0008,0.0001,0.3,10.0,,,0.6194,,
MultiViewCNN,0,1,8,0.0008,0.0001,0.3,10.0,0.0,0.6879136639256631,,,
MultiViewCNN,0,1,8,0.0008,0.0001,0.3,10.0,1.0,0.678282706968246,,,
MultiViewCNN,0,1,8,0.0008,0.0001,0.3,10.0,2.0,0.6680097214637264,,,
MultiViewCNN,0,1,8,0.0008,0.0001,0.3,10.0,3.0,0.6484363271344092,,,
MultiViewCNN,0,1,8,0.0008,0.0001,0.3,10.0,4.0,0.6318577797182144,,,
MultiViewCNN,0,1,8,0.0008,0.0001,0.3,10.0,5.0,0.6128922873927701,,,
MultiViewCNN,0,1,8,0.0008,0.0001,0.3,10.0,6.0,0.5964342548001197,,,
MultiViewCNN,0,1,8,0.0008,0.0001,0.3,10.0,7.0,0.580596387386322,,,
MultiViewCNN,0,1,8,0.0008,0.0001,0.3,10.0,8.0,0.5654687727651289,,,
MultiViewCNN,0,1,8,0.0008,0.0001,0.3,10.0,9.0,0.5369774872256864,,,
MultiViewCNN,0,1,8,0.0008,0.0001,0.3,10.0,,,0.537,,
MultiViewCNN,0,2,8,0.0008,0.0001,0.3,10.0,0.0,0.6937791512858483,,,
MultiViewCNN,0,2,8,0.0008,0.0001,0.3,10.0,1.0,0.69156410232667,,,
MultiViewCNN,0,2,8,0.0008,0.0001,0.3,10.0,2.0,0.6903382866613327,,,
MultiViewCNN,0,2,8,0.0008,0.0001,0.3,10.0,3.0,0.6968743531934677,,,
MultiViewCNN,0,2,8,0.0008,0.0001,0.3,10.0,4.0,0.7034943507563683,,,
MultiViewCNN,0,2,8,0.0008,0.0001,0.3,10.0,5.0,0.7040814218982574,,,
MultiViewCNN,0,2,8,0.0008,0.0001,0.3,10.0,,,0.6903,,
MultiViewCNN,0,0,8,,,,,,,,0.0,0.6156
MultiViewCNN,0,0,9,0.0008,1e-06,0.2,10.0,0.0,0.6887799693692115,,,
MultiViewCNN,0,0,9,0.0008,1e-06,0.2,10.0,1.0,0.6782388264133085,,,
MultiViewCNN,0,0,9,0.0008,1e-06,0.2,10.0,2.0,0.6652811284988157,,,
MultiViewCNN,0,0,9,0.0008,1e-06,0.2,10.0,3.0,0.6593268167588019,,,
MultiViewCNN,0,0,9,0.0008,1e-06,0.2,10.0,4.0,0.6335007298377252,,,
MultiViewCNN,0,0,9,0.0008,1e-06,0.2,10.0,5.0,0.6251377271067712,,,
MultiViewCNN,0,0,9,0.0008,1e-06,0.2,10.0,6.0,0.6276001411099588,,,
MultiViewCNN,0,0,9,0.0008,1e-06,0.2,10.0,7.0,0.6131079446884894,,,
MultiViewCNN,0,0,9,0.0008,1e-06,0.2,10.0,8.0,0.6029806040948437,,,
MultiViewCNN,0,0,9,0.0008,1e-06,0.2,10.0,9.0,0.5806012019034354,,,
MultiViewCNN,0,0,9,0.0008,1e-06,0.2,10.0,,,0.5806,,
MultiViewCNN,0,1,9,0.0008,1e-06,0.2,10.0,0.0,0.6807731005453295,,,
MultiViewCNN,0,1,9,0.0008,1e-06,0.2,10.0,1.0,0.6696788322541022,,,
MultiViewCNN,0,1,9,0.0008,1e-06,0.2,10.0,2.0,0.6529009919012746,,,
MultiViewCNN,0,1,9,0.0008,1e-06,0.2,10.0,3.0,0.6396924737961062,,,
MultiViewCNN,0,1,9,0.0008,1e-06,0.2,10.0,4.0,0.6363340193225492,,,
MultiViewCNN,0,1,9,0.0008,1e-06,0.2,10.0,5.0,0.629946477951542,,,
MultiViewCNN,0,1,9,0.0008,1e-06,0.2,10.0,6.0,0.6228515832654892,,,
MultiViewCNN,0,1,9,0.0008,1e-06,0.2,10.0,7.0,0.605268249588628,,,
MultiViewCNN,0,1,9,0.0008,1e-06,0.2,10.0,8.0,0.5944324616462954,,,
MultiViewCNN,0,1,9,0.0008,1e-06,0.2,10.0,9.0,0.5504627381601641,,,
MultiViewCNN,0,1,9,0.0008,1e-06,0.2,10.0,,,0.5505,,
MultiViewCNN,0,2,9,0.0008,1e-06,0.2,10.0,0.0,0.6903925768790706,,,
MultiViewCNN,0,2,9,0.0008,1e-06,0.2,10.0,1.0,0.6855277149908005,,,
MultiViewCNN,0,2,9,0.0008,1e-06,0.2,10.0,2.0,0.688280088286246,,,
MultiViewCNN,0,2,9,0.0008,1e-06,0.2,10.0,3.0,0.6828696612388857,,,
