08/31/25 - 16:49 ;		 MultiViewCNN;1;11;23;0.5146830631307808;0.8072289156626506;0.4828792095184326;0.9;0.92;0.15040202013932275;0.5143447570257262;0.0002;0;0;0;0.4828792095184326;23
08/31/25 - 16:50 ;		 MultiViewCNN;1;11;24;0.5035156341920416;0.8433734939759037;0.4938229560852051;0.8;0.9600000000000001;0.15657974084034534;0.5081882167435698;0.0002;0;0;0;0.4938229560852051;24
08/31/25 - 16:50 ;		 MultiViewCNN;1;11;25;0.49529670520001146;0.8313253012048193;0.4770780563354492;0.8;0.92;0.14851109478067812;0.49885516862113366;0.0002;0;0;0;0.4770780563354492;25
08/31/25 - 16:51 ;		 MultiViewCNN;1;11;26;0.465996756252036;0.8433734939759037;0.46322365999221804;0.8;1.0;0.14398008655288203;0.48816571603245895;0.0002;0;0;0;0.46322365999221804;26
08/31/25 - 16:51 ;		 MultiViewCNN;1;11;27;0.4843623961310789;0.8072289156626506;0.42351168394088745;1.0;1.0;0.12515543292647474;0.4687695064049875;0.0002;0;0;0;0.42351168394088745;27
08/31/25 - 16:52 ;		 MultiViewCNN;1;11;28;0.4957033183919378;0.7951807228915663;0.39273071885108946;0.9;0.9600000000000001;0.11291362535549221;0.44595787013881805;0.0002;0;0;0;0.39273071885108946;28
08/31/25 - 16:52 ;		 MultiViewCNN;1;11;29;0.45285117518470946;0.8554216867469879;0.3980371832847595;0.9;1.0;0.11479415616353547;0.43158166408260046;0.0002;0;0;0;0.3980371832847595;29
08/31/25 - 16:53 ;		 MultiViewCNN;1;11;30;0.474470480737916;0.8313253012048193;0.3979295909404755;0.9;0.92;0.11635307772355072;0.42148604213996294;0.0002;0;0;0;0.3979295909404755;30
08/31/25 - 16:53 ;		 MultiViewCNN;1;11;31;0.4414967391864363;0.8313253012048193;0.4057151973247528;0.8;0.9600000000000001;0.1230868845314215;0.4167547886953999;0.0002;0;0;0;0.4057151973247528;31
08/31/25 - 16:54 ;		 MultiViewCNN;1;11;32;0.446390613734004;0.8554216867469879;0.5172211170196533;0.7;0.9600000000000001;0.1812625359451437;0.4468946871926759;0.0002;1;0;0;0.4057151973247528;31
08/31/25 - 16:54 ;		 MultiViewCNN;1;11;33;0.40537873664534235;0.9036144578313253;0.37412688732147215;0.9;1.0;0.10617020669197101;0.4250643472313147;0.0002;2;0;0;0.4057151973247528;31
08/31/25 - 16:55 ;		 MultiViewCNN;1;11;34;0.38154223812631816;0.9156626506024096;0.34708390235900877;0.9;1.0;0.09576643192721894;0.40167021376962286;0.0002;0;0;0;0.34708390235900877;34
08/31/25 - 16:55 ;		 MultiViewCNN;1;11;35;0.40745134525988475;0.9036144578313253;0.37158435583114624;0.9;1.0;0.11095444098224445;0.3926444563880798;0.0002;0;0;0;0.37158435583114624;35
08/31/25 - 16:56 ;		 MultiViewCNN;1;11;36;0.40408636862973135;0.8554216867469879;0.35468915700912473;0.9;1.0;0.10117456662541971;0.38125786657439326;0.0002;0;0;0;0.35468915700912473;36
08/31/25 - 16:57 ;		 MultiViewCNN;1;11;37;0.40093271165009003;0.8554216867469879;0.34856094121932985;0.9;1.0;0.09966548961504233;0.3714487889678742;0.0002;0;0;0;0.34856094121932985;37
08/31/25 - 16:57 ;		 MultiViewCNN;1;11;38;0.35518255722091857;0.927710843373494;0.32063513398170473;0.9;1.0;0.08801590076276533;0.3562046924720233;0.0002;0;0;0;0.32063513398170473;38
08/31/25 - 16:58 ;		 MultiViewCNN;1;11;39;0.3935274014990014;0.8433734939759037;0.2991010159254074;0.9;1.0;0.08384054915602097;0.3390735895080385;0.0002;0;0;0;0.2991010159254074;39
08/31/25 - 16:58 ;		 MultiViewCNN;1;11;40;0.36400407444999877;0.891566265060241;0.3355639100074768;0.9;1.0;0.09733593888465303;0.33802068565786997;0.0002;0;0;0;0.3355639100074768;40
08/31/25 - 16:59 ;		 MultiViewCNN;1;11;41;0.34939226867204687;0.9156626506024096;0.2997120201587677;1.0;1.0;0.08228443220247172;0.32652808600813926;0.0002;0;0;0;0.2997120201587677;41
08/31/25 - 16:59 ;		 MultiViewCNN;1;11;42;0.3395479881619833;0.8674698795180723;0.3070406079292297;1.0;1.0;0.08473563128197512;0.32068184258446636;0.0002;0;0;0;0.3070406079292297;42
08/31/25 - 17:00 ;		 MultiViewCNN;1;11;43;0.3333101103822869;0.8795180722891566;0.255802196264267;1.0;1.0;0.06553673845679428;0.3012179486884065;0.0002;0;0;0;0.255802196264267;43
08/31/25 - 17:00 ;		 MultiViewCNN;1;11;44;0.3078958973827132;0.9397590361445783;0.35097785443067553;0.9;1.0;0.10945568038411801;0.3161459204110872;0.0002;1;0;0;0.255802196264267;43
08/31/25 - 17:01 ;		 MultiViewCNN;1;11;45;0.32462681811976146;0.9036144578313253;0.2874020799994469;0.9;1.0;0.08395330386670916;0.30752276828759506;0.0002;2;0;0;0.255802196264267;43
08/31/25 - 17:01 ;		 MultiViewCNN;1;11;46;0.29863860485065413;0.9156626506024096;0.3258360601961613;0.9;1.0;0.09916269484514575;0.3130167558601649;0.0002;3;0;0;0.255802196264267;43
08/31/25 - 17:02 ;		 MultiViewCNN;1;11;47;0.29644288284232817;0.9036144578313253;0.309294593334198;0.9;1.0;0.09354287492744613;0.3119001071023748;0.0002;4;0;0;0.255802196264267;43
08/31/25 - 17:02 ;		 MultiViewCNN;1;11;48;0.26520128027502315;0.9518072289156626;0.356265652179718;0.8;1.0;0.11283633722910473;0.32520977062557777;0.0001;5;1;0;0.255802196264267;43
08/31/25 - 17:03 ;		 MultiViewCNN;1;11;49;0.3392647300139967;0.8554216867469879;0.254841685295105;0.9;1.0;0.0688092012317996;0.30409934502643593;0.0001;6;0;0;0.255802196264267;43
08/31/25 - 17:03 ;		 MultiViewCNN;1;12;0;0.6756474418812487;0.6626506024096386;0.6769720554351807;0.6;0.8;0.24191953743247438;0.6769720554351807;0.0005;0;0;0;0.6769720554351807;0
08/31/25 - 17:04 ;		 MultiViewCNN;1;12;1;0.657791586525469;0.6626506024096386;0.6613757491111756;0.7;0.8;0.23417807181264322;0.6722931635379791;0.0005;0;0;0;0.6613757491111756;1
08/31/25 - 17:04 ;		 MultiViewCNN;1;12;2;0.6461124542247818;0.6987951807228916;0.6482817769050598;0.8;0.76;0.2279650431529147;0.6650897475481032;0.0005;0;0;0;0.6482817769050598;2
08/31/25 - 17:05 ;		 MultiViewCNN;1;12;3;0.6316873650234865;0.6746987951807228;0.6333771586418152;0.7;0.76;0.22105588731150733;0.6555759708762168;0.0005;0;0;0;0.6333771586418152;3
08/31/25 - 17:06 ;		 MultiViewCNN;1;12;4;0.5953610859003412;0.7228915662650602;0.6256860494613647;0.7;0.76;0.21779539934702558;0.6466089944517611;0.0005;0;0;0;0.6256860494613647;4
08/31/25 - 17:06 ;		 MultiViewCNN;1;12;5;0.5826767043895033;0.7710843373493976;0.6084996700286865;0.6;0.76;0.21019820069803563;0.6351761971248386;0.0005;0;0;0;0.6084996700286865;5
08/31/25 - 17:06 ;		 MultiViewCNN;1;12;6;0.5728376062519579;0.7108433734939759;0.6450867176055908;0.7;0.76;0.22805023813802477;0.6381493532690643;0.0005;1;0;0;0.6084996700286865;5
08/31/25 - 17:07 ;		 MultiViewCNN;1;12;7;0.5360482421266027;0.8192771084337349;0.6222872018814087;0.6;0.76;0.2177898325042082;0.6333907078527676;0.0005;2;0;0;0.6084996700286865;5
08/31/25 - 17:08 ;		 MultiViewCNN;1;12;8;0.5267409186765372;0.7831325301204819;0.60063316822052;0.6;0.76;0.20868243666616423;0.6235634459630933;0.0005;0;0;0;0.60063316822052;8
08/31/25 - 17:08 ;		 MultiViewCNN;1;12;9;0.5018490786293903;0.8072289156626506;0.5606533527374268;0.7;0.8;0.19132930511729782;0.6046904179953934;0.0005;0;0;0;0.5606533527374268;9
08/31/25 - 17:09 ;		 MultiViewCNN;1;12;10;0.5085347758000156;0.8072289156626506;0.5493134379386901;0.6;0.8;0.18801304034702196;0.5880773239783823;0.0005;0;0;0;0.5493134379386901;10
08/31/25 - 17:09 ;		 MultiViewCNN;1;12;11;0.4567701935049999;0.8192771084337349;0.5633929133415222;0.7;0.8;0.19398722533229049;0.5806720007873243;0.0005;0;0;0;0.5633929133415222;11
08/31/25 - 17:10 ;		 MultiViewCNN;1;12;12;0.45309160990887376;0.8674698795180723;0.548162829875946;0.7;0.8;0.1888715967906009;0.5709192495139108;0.0005;0;0;0;0.548162829875946;12
08/31/25 - 17:10 ;		 MultiViewCNN;1;12;13;0.48460467752203884;0.7710843373493976;0.5709070920944214;0.7;0.8800000000000001;0.2015392387588931;0.5709156022880639;0.0005;1;0;0;0.548162829875946;12
08/31/25 - 17:11 ;		 MultiViewCNN;1;12;14;0.44047735900764007;0.8313253012048193;0.49223995208740234;0.6;0.8800000000000001;0.1717781076766807;0.5473129072278654;0.0005;0;0;0;0.49223995208740234;14
08/31/25 - 17:12 ;		 MultiViewCNN;1;12;15;0.4291015156062253;0.8192771084337349;0.5386078715324402;0.8;0.8;0.1824062280635336;0.5447013965192378;0.0005;1;0;0;0.49223995208740234;14
08/31/25 - 17:12 ;		 MultiViewCNN;1;12;16;0.35521502361958285;0.8795180722891566;0.5567171573638916;0.6;0.8;0.19772097436587227;0.5483061247726339;0.0005;2;0;0;0.49223995208740234;14
08/31/25 - 17:13 ;		 MultiViewCNN;1;12;17;0.45332721198897763;0.8192771084337349;0.8357531547546386;0.7;0.8800000000000001;0.2748985031502708;0.6345402337672352;0.0005;3;0;0;0.49223995208740234;14
