Timestamp;		 Model;OuterFold;InnerFold;HPset;Epoch;TrainLoss;TrainAcc;ValLoss;ValAcc;AUC;EMA_ValLoss;LR;NoImprove;LrDrop;EsTriggered;BestValLoss;BestEpoch
09/02/25 - 10:01 ;		 MultiViewCNN;1;1;1;18;0.5841340172675348;0.7741935483870968;0.6199233320451552;0.6129032258064516;0.7436974789915967;0.6284894391624262;0.0002;0;0;0;0.6199233320451552;18
09/02/25 - 10:02 ;		 MultiViewCNN;1;1;1;19;0.6175264100874623;0.7096774193548387;0.6157051786299674;0.6451612903225806;0.7394957983193277;0.6246541610026886;0.0002;0;0;0;0.6157051786299674;19
09/02/25 - 10:02 ;		 MultiViewCNN;1;1;1;20;0.5835720262219829;0.7096774193548387;0.6137816425292723;0.5806451612903226;0.7394957983193277;0.6213924054606637;0.0002;0;0;0;0.6137816425292723;20
09/02/25 - 10:03 ;		 MultiViewCNN;1;1;1;21;0.5908275054347131;0.7419354838709677;0.6088895163228435;0.5806451612903226;0.7394957983193277;0.6176415387193176;0.0002;0;0;0;0.6088895163228435;21
09/02/25 - 10:03 ;		 MultiViewCNN;1;1;1;22;0.5739644150580129;0.8225806451612904;0.6054267248799724;0.6774193548387096;0.7436974789915967;0.613977094567514;0.0002;0;0;0;0.6054267248799724;22
09/02/25 - 10:04 ;		 MultiViewCNN;1;1;1;23;0.6014840449056318;0.6774193548387096;0.6030077049809117;0.6129032258064516;0.7436974789915967;0.6106862776915333;0.0002;0;0;0;0.6030077049809117;23
09/02/25 - 10:04 ;		 MultiViewCNN;1;1;1;24;0.5543910880242625;0.6935483870967742;0.6004540055028854;0.5806451612903226;0.7436974789915967;0.6076165960349389;0.0002;0;0;0;0.6004540055028854;24
09/02/25 - 10:04 ;		 MultiViewCNN;1;1;1;25;0.5685803524909481;0.7258064516129032;0.5973377073964765;0.6451612903225806;0.7478991596638656;0.6045329294434002;0.0002;0;0;0;0.5973377073964765;25
09/02/25 - 10:05 ;		 MultiViewCNN;1;1;1;26;0.552144915826859;0.7419354838709677;0.5970677618057497;0.7096774193548387;0.76890756302521;0.602293379152105;0.0002;0;0;0;0.5970677618057497;26
09/02/25 - 10:05 ;		 MultiViewCNN;1;1;1;27;0.5094809109164823;0.8709677419354839;0.5928895204297958;0.6774193548387096;0.7563025210084033;0.5994722215354122;0.0002;0;0;0;0.5928895204297958;27
